2017[INFO]This is an info message.
2017[ERROR]This is an info message.
2017-07[INFO]This is an info message.
2017-07[ERROR]This is an info message.
2017-07-26[INFO]This is an info message.
2017-07-26[ERROR]This is an info message.
2017-07-26 21-13-34[INFO]This is an info message.
2017-07-26 21-13-34[ERROR]This is an info message.
2017-07-26 21-18-11[INFO]This is an info message.
2017-07-26 21-18-11[ERROR]This is an info message.
2017-07-26 21-19-24[INFO]This is an info message.
2017-07-26 21-19-24[ERROR]This is an info message.
2017-07-26 9-21-53[INFO]This is an info message.
2017-07-26 9-21-53[ERROR]This is an info message.
2017-07-26 UTC9-23-40[INFO]This is an info message.
2017-07-26 UTC9-23-40[ERROR]This is an info message.
2017-07-26 UTC21-24-36[INFO]This is an info message.
2017-07-26 UTC21-24-36[ERROR]This is an info message.
2017-07-26 21:52:54[INFO]This is an info message.
2017-07-26 21:52:54[ERROR]This is an info message.
